,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
982,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,32.0,36,36,3195,35.5,33.3,57.0,ar ARG,GK,es La Liga,32.0,1992.0,36.0,36.0,3195.0,35.5,51.0,1.44,143.0,90.0,65.7,11.0,8.0,17.0,8.0,22.2,5.0,2.0,3.0,0.0,57.0,ar ARG,GK,es La Liga,32.0,1992.0,35.5,51.0,2.0,1.0,5.0,1.0,45.4,0.29,-4.6,-0.13,93.0,298.0,31.2,1026.0,137.0,21.6,29.4,419.0,36.0,8.6,33.0,0.93,12.6
986,David de Gea,es ESP,GK,Fiorentina,it Serie A,33.0,34,34,3060,34.0,100.0,58.0,es ESP,GK,it Serie A,33.0,1990.0,34.0,34.0,3060.0,34.0,38.0,1.12,133.0,94.0,72.2,18.0,5.0,11.0,10.0,29.4,3.0,1.0,2.0,0.0,58.0,es ESP,GK,it Serie A,33.0,1990.0,34.0,38.0,1.0,0.0,3.0,1.0,37.0,0.26,0.0,0.0,218.0,490.0,44.5,886.0,129.0,40.1,35.8,478.0,13.0,2.7,28.0,0.8,14.5
1018,Pierluigi Gollini,it ITA,GK,Genoa,it Serie A,29.0,7,7,630,7.0,,59.0,it ITA,GK,it Serie A,29.0,1995.0,7.0,7.0,630.0,7.0,15.0,2.14,32.0,16.0,62.5,1.0,2.0,4.0,1.0,14.3,4.0,3.0,1.0,0.0,59.0,it ITA,GK,it Serie A,29.0,1995.0,7.0,15.0,3.0,0.0,1.0,0.0,12.2,0.29,-2.8,-0.39,33.0,75.0,44.0,198.0,21.0,24.7,30.4,92.0,2.0,2.2,2.0,0.29,9.6
1042,Mathieu Gorgelin,fr FRA,GK,Le Havre,fr Ligue 1,33.0,16,16,1440,16.0,77.8,60.0,fr FRA,GK,fr Ligue 1,33.0,1990.0,16.0,16.0,1440.0,16.0,33.0,2.06,82.0,50.0,63.4,5.0,4.0,7.0,1.0,6.3,3.0,3.0,0.0,0.0,60.0,fr FRA,GK,fr Ligue 1,33.0,1990.0,16.0,33.0,3.0,0.0,4.0,1.0,34.2,0.4,2.2,0.14,79.0,183.0,43.2,435.0,75.0,32.9,32.4,269.0,21.0,7.8,8.0,0.5,10.5
1051,Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,25.0,29,29,2585,28.7,100.0,61.0,pl POL,GK,de Bundesliga,25.0,1999.0,29.0,29.0,2585.0,28.7,49.0,1.71,137.0,88.0,65.7,9.0,7.0,13.0,5.0,17.2,3.0,2.0,1.0,0.0,61.0,pl POL,GK,de Bundesliga,25.0,1999.0,28.7,49.0,2.0,0.0,9.0,1.0,49.7,0.35,1.7,0.06,186.0,511.0,36.4,979.0,114.0,41.7,36.7,413.0,15.0,3.6,19.0,0.66,12.2
1062,Dominik Greif,sk SVK,GK,Mallorca,es La Liga,27.0,31,31,2790,31.0,77.8,62.0,sk SVK,GK,es La Liga,27.0,1997.0,31.0,31.0,2790.0,31.0,34.0,1.1,116.0,83.0,72.4,11.0,8.0,12.0,7.0,22.6,2.0,2.0,0.0,0.0,62.0,sk SVK,GK,es La Liga,27.0,1997.0,31.0,34.0,2.0,0.0,3.0,1.0,33.9,0.28,0.9,0.03,191.0,475.0,40.2,847.0,126.0,41.9,36.4,511.0,15.0,2.9,21.0,0.68,12.9
1073,Vicente Guaita,es ESP,GK,Celta Vigo,es La Liga,37.0,34,34,3060,34.0,100.0,63.0,es ESP,GK,es La Liga,37.0,1987.0,34.0,34.0,3060.0,34.0,48.0,1.41,127.0,79.0,64.6,14.0,7.0,13.0,8.0,23.5,3.0,3.0,0.0,0.0,63.0,es ESP,GK,es La Liga,37.0,1987.0,34.0,48.0,3.0,0.0,6.0,0.0,40.6,0.3,-7.4,-0.22,66.0,220.0,30.0,740.0,195.0,18.4,27.3,436.0,26.0,6.0,44.0,1.29,14.0
1095,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,34.0,30,30,2631,29.2,91.7,64.0,hu HUN,GK,de Bundesliga,34.0,1990.0,30.0,30.0,2631.0,29.2,39.0,1.33,137.0,97.0,73.0,12.0,11.0,7.0,14.0,46.7,3.0,2.0,1.0,0.0,64.0,hu HUN,GK,de Bundesliga,34.0,1990.0,29.2,39.0,2.0,1.0,4.0,0.0,42.6,0.3,3.6,0.12,79.0,209.0,37.8,705.0,140.0,20.3,28.6,434.0,23.0,5.3,34.0,1.16,14.8
1133,Kjetil Haug,no NOR,GK,Toulouse,fr Ligue 1,26.0,6,5,498,5.5,,65.0,no NOR,GK,fr Ligue 1,26.0,1998.0,6.0,5.0,498.0,5.5,7.0,1.27,16.0,9.0,56.3,2.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,65.0,no NOR,GK,fr Ligue 1,26.0,1998.0,5.5,7.0,0.0,0.0,2.0,0.0,6.6,0.45,-0.4,-0.06,16.0,60.0,26.7,95.0,13.0,37.9,34.1,72.0,5.0,6.9,3.0,0.54,12.1
1138,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,27.0,38,38,3420,38.0,91.7,66.0,eng ENG,GK,eng Premier League,27.0,1997.0,38.0,38.0,3420.0,38.0,51.0,1.34,150.0,101.0,66.7,13.0,14.0,11.0,11.0,28.9,2.0,1.0,1.0,0.0,66.0,eng ENG,GK,eng Premier League,27.0,1997.0,38.0,51.0,1.0,1.0,5.0,3.0,51.2,0.35,3.2,0.08,157.0,600.0,26.2,942.0,115.0,47.5,38.5,559.0,30.0,5.4,40.0,1.05,14.3
1146,Mads Hermansen,dk DEN,GK,Leicester City,eng Premier League,24.0,27,27,2385,26.5,80.0,67.0,dk DEN,GK,eng Premier League,24.0,2000.0,27.0,27.0,2385.0,26.5,58.0,2.19,155.0,99.0,64.5,3.0,6.0,18.0,1.0,3.7,4.0,3.0,1.0,0.0,67.0,dk DEN,GK,eng Premier League,24.0,2000.0,26.5,58.0,3.0,0.0,3.0,3.0,56.4,0.35,1.4,0.05,114.0,471.0,24.2,926.0,133.0,39.2,34.6,419.0,26.0,6.2,26.0,0.98,13.1
1156,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,31.0,37,37,3330,37.0,83.3,68.0,es ESP,GK,es La Liga,31.0,1993.0,37.0,37.0,3330.0,37.0,52.0,1.41,182.0,131.0,75.3,12.0,15.0,10.0,8.0,21.6,7.0,7.0,0.0,0.0,68.0,es ESP,GK,es La Liga,31.0,1993.0,37.0,52.0,7.0,1.0,4.0,1.0,56.2,0.28,5.2,0.14,277.0,614.0,45.1,966.0,139.0,43.2,37.6,524.0,32.0,6.1,85.0,2.3,19.7
1180,Dinko Horkaš,hr CRO,GK,Las Palmas,es La Liga,25.0,13,11,1085,12.1,,69.0,hr CRO,GK,es La Liga,25.0,1999.0,13.0,11.0,1085.0,12.1,19.0,1.58,54.0,35.0,66.7,2.0,0.0,9.0,1.0,9.1,2.0,1.0,1.0,0.0,69.0,hr CRO,GK,es La Liga,25.0,1999.0,12.1,19.0,1.0,0.0,0.0,1.0,19.4,0.34,1.4,0.11,69.0,175.0,39.4,475.0,53.0,31.8,32.5,148.0,9.0,6.1,16.0,1.33,15.6
1181,Timo Horn,de GER,GK,Bochum,de Bundesliga,31.0,13,13,1170,13.0,100.0,70.0,de GER,GK,de Bundesliga,31.0,1993.0,13.0,13.0,1170.0,13.0,22.0,1.69,54.0,32.0,59.3,3.0,3.0,7.0,3.0,23.1,1.0,0.0,0.0,1.0,70.0,de GER,GK,de Bundesliga,31.0,1993.0,13.0,22.0,0.0,1.0,3.0,0.0,18.5,0.35,-3.5,-0.27,129.0,332.0,38.9,400.0,29.0,60.8,43.6,182.0,6.0,3.3,18.0,1.38,14.8
1185,Lukáš Hrádecký,fi FIN,GK,Leverkusen,de Bundesliga,34.0,29,29,2610,29.0,50.0,71.0,fi FIN,GK,de Bundesliga,34.0,1989.0,29.0,29.0,2610.0,29.0,38.0,1.31,118.0,83.0,71.2,16.0,11.0,2.0,6.0,20.7,4.0,4.0,0.0,0.0,71.0,fi FIN,GK,de Bundesliga,34.0,1989.0,29.0,38.0,4.0,1.0,2.0,3.0,35.8,0.28,0.8,0.03,123.0,306.0,40.2,774.0,110.0,30.9,31.5,296.0,12.0,4.1,39.0,1.34,17.3
1238,Karl Jakob Hein,ee EST,GK,Valladolid,es La Liga,22.0,31,31,2790,31.0,100.0,72.0,ee EST,GK,es La Liga,22.0,2002.0,31.0,31.0,2790.0,31.0,68.0,2.19,163.0,96.0,60.7,4.0,4.0,23.0,5.0,16.1,4.0,4.0,0.0,0.0,72.0,ee EST,GK,es La Liga,22.0,2002.0,31.0,68.0,4.0,1.0,4.0,1.0,58.8,0.35,-8.2,-0.27,165.0,452.0,36.5,941.0,136.0,32.6,33.9,474.0,34.0,7.2,34.0,1.1,14.0
1271,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,31.0,7,7,630,7.0,100.0,75.0,eng ENG,GK,eng Premier League,31.0,1993.0,7.0,7.0,630.0,7.0,17.0,2.43,39.0,23.0,61.5,0.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,75.0,eng ENG,GK,eng Premier League,31.0,1993.0,7.0,17.0,2.0,0.0,5.0,1.0,13.0,0.29,-3.0,-0.43,52.0,129.0,40.3,252.0,28.0,45.6,36.6,104.0,8.0,7.7,11.0,1.57,13.4
1277,Jesse Joronen,fi FIN,GK,Venezia,it Serie A,31.0,8,7,703,7.8,100.0,76.0,fi FIN,GK,it Serie A,31.0,1993.0,8.0,7.0,703.0,7.8,15.0,1.92,40.0,27.0,70.0,1.0,1.0,5.0,2.0,28.6,3.0,3.0,0.0,0.0,76.0,fi FIN,GK,it Serie A,31.0,1993.0,7.8,15.0,3.0,0.0,3.0,2.0,12.6,0.26,-0.4,-0.05,20.0,84.0,23.8,260.0,46.0,28.1,31.0,125.0,6.0,4.8,5.0,0.64,9.4
1287,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,23.0,17,16,1458,16.2,85.7,77.0,br BRA,GK,es La Liga,23.0,2001.0,17.0,16.0,1458.0,16.2,18.0,1.11,66.0,48.0,78.8,9.0,4.0,3.0,5.0,31.3,4.0,4.0,0.0,0.0,77.0,br BRA,GK,es La Liga,23.0,2001.0,16.2,18.0,4.0,1.0,0.0,0.0,18.1,0.23,0.1,0.0,61.0,178.0,34.3,392.0,96.0,31.9,31.6,256.0,16.0,6.3,20.0,1.23,12.2
1294,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,22.0,6,6,540,6.0,,78.0,dk DEN,GK,eng Premier League,22.0,2002.0,6.0,6.0,540.0,6.0,9.0,1.5,28.0,19.0,71.4,3.0,0.0,3.0,1.0,16.7,1.0,1.0,0.0,0.0,78.0,dk DEN,GK,eng Premier League,22.0,2002.0,6.0,9.0,1.0,0.0,1.0,0.0,9.3,0.3,0.3,0.04,7.0,33.0,21.2,171.0,19.0,18.1,24.1,53.0,2.0,3.8,2.0,0.33,13.2
1338,Caoimhín Kelleher,ie IRL,GK,Liverpool,eng Premier League,25.0,10,10,900,10.0,100.0,79.0,ie IRL,GK,eng Premier League,25.0,1998.0,10.0,10.0,900.0,10.0,12.0,1.2,37.0,24.0,67.6,7.0,2.0,1.0,4.0,40.0,1.0,0.0,1.0,0.0,79.0,ie IRL,GK,eng Premier League,25.0,1998.0,10.0,12.0,0.0,0.0,1.0,0.0,11.6,0.3,-0.4,-0.04,29.0,115.0,25.2,364.0,49.0,28.6,29.0,113.0,6.0,5.3,9.0,0.9,14.0
1361,Antonín Kinský,cz CZE,GK,Tottenham,eng Premier League,21.0,6,6,540,6.0,100.0,81.0,cz CZE,GK,eng Premier League,21.0,2003.0,6.0,6.0,540.0,6.0,11.0,1.83,32.0,23.0,65.6,1.0,0.0,5.0,1.0,16.7,0.0,0.0,0.0,0.0,81.0,cz CZE,GK,eng Premier League,21.0,2003.0,6.0,11.0,0.0,0.0,1.0,2.0,10.5,0.33,1.5,0.25,17.0,58.0,29.3,186.0,37.0,26.9,30.7,112.0,10.0,8.9,9.0,1.5,12.1
1369,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,26.0,32,32,2880,32.0,100.0,82.0,ch SUI,GK,de Bundesliga,26.0,1997.0,32.0,32.0,2880.0,32.0,47.0,1.47,129.0,82.0,66.7,16.0,6.0,10.0,7.0,21.9,4.0,4.0,0.0,0.0,82.0,ch SUI,GK,de Bundesliga,26.0,1997.0,32.0,47.0,4.0,0.0,5.0,1.0,47.4,0.35,1.4,0.04,112.0,336.0,33.3,1117.0,126.0,23.7,28.6,420.0,22.0,5.2,47.0,1.47,15.7
1371,Hervé Koffi,bf BFA,GK,Lens,fr Ligue 1,27.0,5,5,450,5.0,100.0,83.0,bf BFA,GK,fr Ligue 1,27.0,1996.0,5.0,5.0,450.0,5.0,8.0,1.6,26.0,18.0,76.9,1.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,83.0,bf BFA,GK,fr Ligue 1,27.0,1996.0,5.0,8.0,2.0,0.0,1.0,0.0,11.1,0.38,3.1,0.61,14.0,42.0,33.3,115.0,22.0,29.6,33.2,53.0,4.0,7.5,2.0,0.4,9.4
1374,Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,26.0,19,19,1710,19.0,100.0,84.0,ch SUI,GK,fr Ligue 1,26.0,1998.0,19.0,19.0,1710.0,19.0,19.0,1.0,63.0,44.0,71.4,11.0,5.0,3.0,8.0,42.1,1.0,1.0,0.0,0.0,84.0,ch SUI,GK,fr Ligue 1,26.0,1998.0,19.0,19.0,1.0,0.0,2.0,0.0,17.2,0.26,-1.8,-0.1,50.0,157.0,31.8,447.0,70.0,25.7,29.9,225.0,16.0,7.1,20.0,1.05,14.8
1404,Matej Kovar,cz CZE,GK,Leverkusen,de Bundesliga,24.0,5,5,450,5.0,50.0,85.0,cz CZE,GK,de Bundesliga,24.0,2000.0,5.0,5.0,450.0,5.0,5.0,1.0,16.0,12.0,68.8,3.0,1.0,1.0,3.0,60.0,0.0,0.0,0.0,0.0,85.0,cz CZE,GK,de Bundesliga,24.0,2000.0,5.0,5.0,0.0,0.0,0.0,1.0,3.5,0.22,-0.5,-0.09,12.0,32.0,37.5,131.0,16.0,21.4,27.9,52.0,2.0,3.8,6.0,1.2,16.9
1433,Nediljko Labrović,hr CRO,GK,Augsburg,de Bundesliga,24.0,15,15,1350,15.0,85.7,86.0,hr CRO,GK,de Bundesliga,24.0,1999.0,15.0,15.0,1350.0,15.0,32.0,2.13,74.0,42.0,60.8,4.0,4.0,7.0,2.0,13.3,3.0,3.0,0.0,0.0,86.0,hr CRO,GK,de Bundesliga,24.0,1999.0,15.0,32.0,3.0,1.0,2.0,0.0,25.9,0.32,-6.1,-0.4,83.0,220.0,37.7,397.0,72.0,38.8,35.2,217.0,12.0,5.5,18.0,1.2,13.3
1437,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,25.0,12,12,1080,12.0,100.0,87.0,fr FRA,GK,fr Ligue 1,25.0,1999.0,12.0,12.0,1080.0,12.0,19.0,1.58,49.0,32.0,67.3,2.0,4.0,6.0,2.0,16.7,3.0,3.0,0.0,0.0,87.0,fr FRA,GK,fr Ligue 1,25.0,1999.0,12.0,19.0,3.0,0.0,2.0,2.0,16.8,0.3,-0.2,-0.02,40.0,143.0,28.0,309.0,56.0,34.0,34.9,200.0,16.0,8.0,6.0,0.5,10.6
1449,Gautier Larsonneur,fr FRA,GK,Saint-Étienne,fr Ligue 1,27.0,34,34,3060,34.0,63.6,88.0,fr FRA,GK,fr Ligue 1,27.0,1997.0,34.0,34.0,3060.0,34.0,77.0,2.26,209.0,132.0,69.4,8.0,6.0,20.0,5.0,14.7,15.0,13.0,2.0,0.0,88.0,fr FRA,GK,fr Ligue 1,27.0,1997.0,34.0,77.0,13.0,0.0,4.0,2.0,73.5,0.3,-1.5,-0.04,131.0,486.0,27.0,978.0,145.0,38.8,34.7,510.0,24.0,4.7,33.0,1.0,14.0
1461,Nicola Leali,it ITA,GK,Genoa,it Serie A,31.0,29,29,2610,29.0,100.0,89.0,it ITA,GK,it Serie A,31.0,1993.0,29.0,29.0,2610.0,29.0,31.0,1.07,111.0,82.0,74.8,8.0,10.0,11.0,10.0,34.5,4.0,3.0,1.0,0.0,89.0,it ITA,GK,it Serie A,31.0,1993.0,29.0,31.0,3.0,0.0,4.0,3.0,34.3,0.29,6.3,0.22,150.0,391.0,38.4,722.0,112.0,39.3,33.9,390.0,21.0,5.4,14.0,0.48,11.2
1463,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,33.0,30,30,2700,30.0,100.0,90.0,fr FRA,GK,fr Ligue 1,33.0,1991.0,30.0,30.0,2700.0,30.0,68.0,2.27,173.0,107.0,64.2,3.0,4.0,23.0,1.0,3.3,7.0,6.0,1.0,0.0,90.0,fr FRA,GK,fr Ligue 1,33.0,1991.0,30.0,68.0,6.0,0.0,5.0,3.0,57.3,0.31,-5.7,-0.2,177.0,449.0,39.4,814.0,115.0,42.5,36.2,408.0,20.0,4.9,26.0,0.9,14.3
1476,Bernd Leno,de GER,GK,Fulham,eng Premier League,32.0,38,38,3420,38.0,90.0,91.0,de GER,GK,eng Premier League,32.0,1992.0,38.0,38.0,3420.0,38.0,54.0,1.42,159.0,106.0,67.9,15.0,9.0,14.0,5.0,13.2,4.0,3.0,1.0,0.0,91.0,de GER,GK,eng Premier League,32.0,1992.0,38.0,54.0,3.0,0.0,6.0,2.0,48.9,0.29,-3.1,-0.08,141.0,367.0,38.4,1231.0,167.0,22.7,28.9,507.0,23.0,4.5,33.0,0.87,13.3
1477,Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,31.0,32,32,2880,32.0,87.5,92.0,gf GUF,GK,fr Ligue 1,31.0,1992.0,32.0,32.0,2880.0,32.0,48.0,1.5,164.0,118.0,73.8,11.0,8.0,13.0,9.0,28.1,6.0,5.0,1.0,0.0,92.0,gf GUF,GK,fr Ligue 1,31.0,1992.0,32.0,48.0,5.0,0.0,7.0,3.0,55.8,0.32,10.8,0.34,213.0,649.0,32.8,935.0,173.0,53.0,42.0,518.0,28.0,5.4,39.0,1.22,14.6
1514,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,33.0,18,18,1563,17.4,66.7,93.0,pt POR,GK,fr Ligue 1,33.0,1990.0,18.0,18.0,1563.0,17.4,26.0,1.5,71.0,46.0,69.0,5.0,6.0,7.0,3.0,16.7,5.0,4.0,0.0,1.0,93.0,pt POR,GK,fr Ligue 1,33.0,1990.0,17.4,26.0,4.0,0.0,1.0,1.0,25.6,0.32,0.6,0.03,89.0,257.0,34.6,451.0,56.0,40.4,35.8,308.0,16.0,5.2,8.0,0.46,11.0
1544,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,25.0,7,7,630,7.0,100.0,96.0,ua UKR,GK,es La Liga,25.0,1999.0,7.0,7.0,630.0,7.0,7.0,1.0,20.0,13.0,65.0,6.0,0.0,1.0,4.0,57.1,0.0,0.0,0.0,0.0,96.0,ua UKR,GK,es La Liga,25.0,1999.0,7.0,7.0,0.0,0.0,0.0,0.0,6.4,0.32,-0.6,-0.09,21.0,42.0,50.0,155.0,29.0,20.0,26.9,61.0,2.0,3.3,12.0,1.71,14.9
1572,Mike Maignan,fr FRA,GK,Milan,it Serie A,29.0,37,37,3294,36.6,100.0,97.0,fr FRA,GK,it Serie A,29.0,1995.0,37.0,37.0,3294.0,36.6,41.0,1.12,136.0,97.0,70.6,17.0,9.0,11.0,12.0,32.4,2.0,1.0,1.0,0.0,97.0,fr FRA,GK,it Serie A,29.0,1995.0,36.6,41.0,1.0,1.0,3.0,3.0,36.8,0.26,-1.2,-0.03,118.0,306.0,38.6,1355.0,174.0,17.4,27.8,447.0,26.0,5.8,68.0,1.86,18.7
1576,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,24.0,15,15,1350,15.0,100.0,98.0,pl POL,GK,fr Ligue 1,24.0,1999.0,15.0,15.0,1350.0,15.0,22.0,1.47,65.0,43.0,69.2,7.0,2.0,6.0,3.0,20.0,2.0,2.0,0.0,0.0,98.0,pl POL,GK,fr Ligue 1,24.0,1999.0,15.0,22.0,2.0,1.0,1.0,0.0,21.1,0.31,-0.9,-0.06,27.0,112.0,24.1,320.0,76.0,26.6,30.5,154.0,14.0,9.1,18.0,1.2,14.0
1594,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,23.0,34,34,3060,34.0,66.7,99.0,ge GEO,GK,es La Liga,23.0,2000.0,34.0,34.0,3060.0,34.0,48.0,1.41,136.0,89.0,68.4,11.0,11.0,12.0,8.0,23.5,7.0,5.0,2.0,0.0,99.0,ge GEO,GK,es La Liga,23.0,2000.0,34.0,48.0,5.0,0.0,4.0,3.0,46.1,0.3,1.1,0.03,141.0,449.0,31.4,859.0,134.0,36.0,34.5,472.0,33.0,7.0,38.0,1.12,14.3
1598,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,39.0,18,17,1486,16.5,100.0,100.0,fr FRA,GK,fr Ligue 1,39.0,1985.0,18.0,17.0,1486.0,16.5,23.0,1.39,51.0,29.0,58.8,6.0,2.0,9.0,6.0,35.3,3.0,2.0,1.0,0.0,100.0,fr FRA,GK,fr Ligue 1,39.0,1985.0,16.5,23.0,2.0,0.0,2.0,2.0,17.0,0.29,-4.0,-0.24,61.0,180.0,33.9,426.0,66.0,33.6,32.7,175.0,7.0,4.0,21.0,1.27,15.7
