,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1599,Christos Mandas,gr GRE,GK,Lazio,it Serie A,22.0,9,9,810,9.0,85.7,101.0,gr GRE,GK,it Serie A,22.0,2001.0,9.0,9.0,810.0,9.0,7.0,0.78,27.0,20.0,74.1,3.0,5.0,1.0,4.0,44.4,0.0,0.0,0.0,0.0,101.0,gr GRE,GK,it Serie A,22.0,2001.0,9.0,7.0,0.0,0.0,1.0,0.0,7.9,0.29,0.9,0.1,42.0,124.0,33.9,308.0,36.0,36.4,35.9,130.0,20.0,15.4,22.0,2.44,16.8
1646,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,31.0,37,37,3194,35.5,90.9,103.0,ar ARG,GK,eng Premier League,31.0,1992.0,37.0,37.0,3194.0,35.5,45.0,1.27,142.0,96.0,69.0,18.0,9.0,10.0,8.0,21.6,2.0,1.0,1.0,0.0,103.0,ar ARG,GK,eng Premier League,31.0,1992.0,35.5,45.0,1.0,1.0,2.0,0.0,45.8,0.32,0.8,0.02,162.0,420.0,38.6,1208.0,132.0,26.3,30.4,498.0,56.0,11.2,35.0,0.99,13.7
1649,Josep Martinez,es ESP,GK,Inter,it Serie A,26.0,5,5,450,5.0,100.0,104.0,es ESP,GK,it Serie A,26.0,1998.0,5.0,5.0,450.0,5.0,3.0,0.6,14.0,11.0,78.6,4.0,1.0,0.0,3.0,60.0,0.0,0.0,0.0,0.0,104.0,es ESP,GK,it Serie A,26.0,1998.0,5.0,3.0,0.0,0.0,0.0,0.0,4.1,0.31,1.1,0.23,23.0,51.0,45.1,216.0,15.0,20.4,28.6,81.0,3.0,3.7,3.0,0.6,15.8
1697,Alex McCarthy,eng ENG,GK,Southampton,eng Premier League,34.0,5,5,450,5.0,100.0,106.0,eng ENG,GK,eng Premier League,34.0,1989.0,5.0,5.0,450.0,5.0,13.0,2.6,37.0,24.0,70.3,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,106.0,eng ENG,GK,eng Premier League,34.0,1989.0,5.0,13.0,2.0,0.0,1.0,0.0,12.6,0.29,-0.4,-0.07,24.0,52.0,46.2,132.0,29.0,33.3,29.5,74.0,8.0,10.8,0.0,0.0,6.5
1724,Alex Meret,it ITA,GK,Napoli,it Serie A,27.0,34,34,3005,33.4,100.0,107.0,it ITA,GK,it Serie A,27.0,1997.0,34.0,34.0,3005.0,33.4,25.0,0.75,84.0,59.0,71.4,21.0,9.0,4.0,16.0,47.1,4.0,1.0,2.0,1.0,107.0,it ITA,GK,it Serie A,27.0,1997.0,33.4,25.0,1.0,1.0,0.0,2.0,25.3,0.27,2.3,0.07,88.0,214.0,41.1,1041.0,117.0,15.4,27.7,378.0,21.0,5.6,47.0,1.41,16.5
1743,Vanja Milinković-Savić,rs SRB,GK,Torino,it Serie A,27.0,37,37,3330,37.0,84.6,109.0,rs SRB,GK,it Serie A,27.0,1997.0,37.0,37.0,3330.0,37.0,42.0,1.14,173.0,129.0,77.5,10.0,14.0,13.0,10.0,27.0,7.0,3.0,4.0,0.0,109.0,rs SRB,GK,it Serie A,27.0,1997.0,37.0,42.0,3.0,1.0,7.0,2.0,51.4,0.27,11.4,0.31,223.0,702.0,31.8,1352.0,191.0,40.0,37.6,585.0,37.0,6.3,46.0,1.24,13.7
1780,Lorenzo Montipò,it ITA,GK,Hellas Verona,it Serie A,28.0,36,36,3240,36.0,87.5,110.0,it ITA,GK,it Serie A,28.0,1996.0,36.0,36.0,3240.0,36.0,64.0,1.78,161.0,97.0,61.5,9.0,7.0,20.0,8.0,22.2,4.0,2.0,1.0,1.0,110.0,it ITA,GK,it Serie A,28.0,1996.0,36.0,64.0,2.0,0.0,6.0,1.0,50.8,0.31,-12.2,-0.34,210.0,720.0,29.2,760.0,91.0,59.9,43.6,498.0,30.0,6.0,23.0,0.64,11.6
1813,Florian Müller,de GER,GK,Freiburg,de Bundesliga,26.0,9,8,753,8.4,,111.0,de GER,GK,de Bundesliga,26.0,1997.0,9.0,8.0,753.0,8.4,16.0,1.91,30.0,15.0,53.3,4.0,1.0,3.0,1.0,12.5,2.0,2.0,0.0,0.0,111.0,de GER,GK,de Bundesliga,26.0,1997.0,8.4,16.0,2.0,0.0,3.0,1.0,11.6,0.35,-3.4,-0.41,54.0,166.0,32.5,267.0,28.0,44.9,37.1,104.0,6.0,5.8,9.0,1.08,13.4
1814,Kevin Müller,de GER,GK,Heidenheim,de Bundesliga,33.0,33,33,2939,32.7,88.9,112.0,de GER,GK,de Bundesliga,33.0,1991.0,33.0,33.0,2939.0,32.7,64.0,1.96,169.0,105.0,65.7,7.0,5.0,21.0,7.0,21.2,6.0,6.0,0.0,0.0,112.0,de GER,GK,de Bundesliga,33.0,1991.0,32.7,64.0,6.0,0.0,7.0,0.0,59.3,0.33,-4.7,-0.14,152.0,428.0,35.5,1031.0,153.0,31.4,33.8,453.0,21.0,4.6,20.0,0.61,12.0
1815,Marius Müller,de GER,GK,Wolfsburg,de Bundesliga,31.0,6,5,475,5.3,100.0,113.0,de GER,GK,de Bundesliga,31.0,1993.0,6.0,5.0,475.0,5.3,5.0,0.95,23.0,18.0,78.3,2.0,3.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,113.0,de GER,GK,de Bundesliga,31.0,1993.0,5.3,5.0,0.0,0.0,2.0,0.0,7.6,0.33,2.6,0.49,37.0,97.0,38.1,184.0,29.0,39.1,36.6,99.0,9.0,9.1,3.0,0.57,11.7
1827,Arijanet Muric,xk KVX,GK,Ipswich Town,eng Premier League,25.0,18,18,1620,18.0,91.7,114.0,xk KVX,GK,eng Premier League,25.0,1998.0,18.0,18.0,1620.0,18.0,33.0,1.83,100.0,67.0,70.0,2.0,6.0,10.0,1.0,5.6,3.0,3.0,0.0,0.0,114.0,xk KVX,GK,eng Premier League,25.0,1998.0,18.0,33.0,3.0,0.0,2.0,0.0,31.4,0.29,-1.6,-0.09,76.0,229.0,33.2,534.0,94.0,29.6,30.3,249.0,39.0,15.7,20.0,1.11,12.2
1885,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,38.0,22,22,1980,22.0,100.0,118.0,de GER,GK,de Bundesliga,38.0,1986.0,22.0,22.0,1980.0,22.0,15.0,0.68,45.0,30.0,68.9,18.0,4.0,0.0,13.0,59.1,2.0,1.0,0.0,1.0,118.0,de GER,GK,de Bundesliga,38.0,1986.0,22.0,15.0,1.0,0.0,2.0,0.0,15.0,0.33,0.0,0.0,92.0,194.0,47.4,867.0,81.0,20.0,27.7,162.0,6.0,3.7,40.0,1.82,19.6
1898,Moritz Nicolas,de GER,GK,Gladbach,de Bundesliga,26.0,19,19,1639,18.2,87.5,119.0,de GER,GK,de Bundesliga,26.0,1997.0,19.0,19.0,1639.0,18.2,25.0,1.37,92.0,69.0,78.3,9.0,4.0,6.0,4.0,21.1,5.0,5.0,0.0,0.0,119.0,de GER,GK,de Bundesliga,26.0,1997.0,18.2,25.0,5.0,0.0,1.0,2.0,29.9,0.29,6.9,0.38,95.0,199.0,47.7,734.0,88.0,23.3,28.2,319.0,18.0,5.6,14.0,0.77,12.0
1920,Alexander Nübel,de GER,GK,Stuttgart,de Bundesliga,27.0,34,34,3060,34.0,80.0,120.0,de GER,GK,de Bundesliga,27.0,1996.0,34.0,34.0,3060.0,34.0,53.0,1.56,136.0,83.0,62.5,14.0,8.0,12.0,7.0,20.6,3.0,2.0,1.0,0.0,120.0,de GER,GK,de Bundesliga,27.0,1996.0,34.0,53.0,2.0,1.0,7.0,1.0,44.8,0.32,-7.2,-0.21,157.0,410.0,38.3,1183.0,137.0,30.1,30.7,415.0,21.0,5.1,57.0,1.68,17.6
1927,Ørjan Nyland,no NOR,GK,Sevilla,es La Liga,33.0,30,30,2673,29.7,100.0,121.0,no NOR,GK,es La Liga,33.0,1990.0,30.0,30.0,2673.0,29.7,39.0,1.31,112.0,73.0,67.9,8.0,10.0,12.0,7.0,23.3,4.0,3.0,1.0,0.0,121.0,no NOR,GK,es La Liga,33.0,1990.0,29.7,39.0,3.0,3.0,3.0,1.0,37.1,0.31,-0.9,-0.03,118.0,445.0,26.5,836.0,114.0,42.1,37.2,408.0,20.0,4.9,29.0,0.98,13.8
1938,Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,31.0,36,36,3240,36.0,100.0,122.0,si SVN,GK,es La Liga,31.0,1993.0,36.0,36.0,3240.0,36.0,30.0,0.83,114.0,86.0,78.1,20.0,10.0,6.0,15.0,41.7,5.0,5.0,0.0,0.0,122.0,si SVN,GK,es La Liga,31.0,1993.0,36.0,30.0,5.0,1.0,3.0,2.0,25.6,0.19,-2.4,-0.07,109.0,277.0,39.4,670.0,183.0,24.3,30.2,488.0,28.0,5.7,28.0,0.78,14.0
1953,Maduka Okoye,ng NGA,GK,Udinese,it Serie A,24.0,25,25,2250,25.0,100.0,123.0,ng NGA,GK,it Serie A,24.0,1999.0,25.0,25.0,2250.0,25.0,40.0,1.6,110.0,73.0,67.3,6.0,4.0,15.0,4.0,16.0,5.0,4.0,0.0,1.0,123.0,ng NGA,GK,it Serie A,24.0,1999.0,25.0,40.0,4.0,2.0,4.0,3.0,37.0,0.32,0.0,0.0,120.0,292.0,41.1,776.0,80.0,29.9,30.2,315.0,14.0,4.4,23.0,0.92,14.1
1968,Jonas Omlin,ch SUI,GK,Gladbach,de Bundesliga,30.0,12,11,978,10.9,100.0,125.0,ch SUI,GK,de Bundesliga,30.0,1994.0,12.0,11.0,978.0,10.9,26.0,2.39,72.0,45.0,66.7,2.0,1.0,8.0,1.0,9.1,3.0,2.0,1.0,0.0,125.0,ch SUI,GK,de Bundesliga,30.0,1994.0,10.9,26.0,2.0,1.0,6.0,0.0,23.8,0.31,-2.2,-0.2,68.0,190.0,35.8,453.0,46.0,34.9,32.7,166.0,3.0,1.8,13.0,1.2,15.1
1972,André Onana,cm CMR,GK,Manchester Utd,eng Premier League,28.0,34,34,3060,34.0,100.0,126.0,cm CMR,GK,eng Premier League,28.0,1996.0,34.0,34.0,3060.0,34.0,44.0,1.29,132.0,88.0,68.9,10.0,9.0,15.0,9.0,26.5,4.0,3.0,1.0,0.0,126.0,cm CMR,GK,eng Premier League,28.0,1996.0,34.0,44.0,3.0,1.0,10.0,1.0,44.0,0.31,1.0,0.03,118.0,440.0,26.8,1152.0,136.0,29.7,30.3,399.0,22.0,5.5,23.0,0.68,11.8
1992,Stefan Ortega,de GER,GK,Manchester City,eng Premier League,31.0,13,12,1100,12.2,100.0,127.0,de GER,GK,eng Premier League,31.0,1992.0,13.0,12.0,1100.0,12.2,18.0,1.47,50.0,33.0,68.0,5.0,4.0,3.0,3.0,25.0,2.0,2.0,0.0,0.0,127.0,de GER,GK,eng Premier League,31.0,1992.0,12.2,18.0,2.0,1.0,1.0,1.0,16.3,0.31,-0.7,-0.06,40.0,104.0,38.5,409.0,55.0,21.5,26.7,133.0,6.0,4.5,12.0,0.98,14.3
2009,Jesús Owono,gq EQG,GK,Alavés,es La Liga,23.0,6,5,487,5.4,,128.0,gq EQG,GK,es La Liga,23.0,2001.0,6.0,5.0,487.0,5.4,7.0,1.29,14.0,7.0,57.1,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,128.0,gq EQG,GK,es La Liga,23.0,2001.0,5.4,7.0,1.0,0.0,2.0,0.0,5.4,0.37,-1.6,-0.29,46.0,105.0,43.8,126.0,12.0,55.6,43.0,66.0,6.0,9.1,2.0,0.37,8.9
2032,Alex Palmer,eng ENG,GK,Ipswich Town,eng Premier League,27.0,13,13,1170,13.0,100.0,132.0,eng ENG,GK,eng Premier League,27.0,1996.0,13.0,13.0,1170.0,13.0,30.0,2.31,71.0,43.0,59.2,1.0,3.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,132.0,eng ENG,GK,eng Premier League,27.0,1996.0,13.0,30.0,1.0,0.0,9.0,2.0,25.1,0.35,-2.9,-0.22,71.0,186.0,38.2,329.0,55.0,36.8,33.9,249.0,20.0,8.0,13.0,1.0,11.5
2076,Iñaki Peña,es ESP,GK,Barcelona,es La Liga,25.0,16,15,1396,15.5,100.0,134.0,es ESP,GK,es La Liga,25.0,1999.0,16.0,15.0,1396.0,15.5,18.0,1.16,53.0,35.0,69.8,7.0,3.0,5.0,4.0,26.7,2.0,2.0,0.0,0.0,134.0,es ESP,GK,es La Liga,25.0,1999.0,15.5,18.0,2.0,0.0,1.0,0.0,16.7,0.29,-1.3,-0.08,23.0,78.0,29.5,546.0,80.0,10.8,24.7,143.0,3.0,2.1,89.0,5.74,23.5
2096,Mattia Perin,it ITA,GK,Juventus,it Serie A,31.0,5,5,450,5.0,100.0,137.0,it ITA,GK,it Serie A,31.0,1992.0,5.0,5.0,450.0,5.0,3.0,0.6,16.0,13.0,81.3,2.0,3.0,0.0,3.0,60.0,0.0,0.0,0.0,0.0,137.0,it ITA,GK,it Serie A,31.0,1992.0,5.0,3.0,0.0,0.0,0.0,0.0,3.7,0.23,0.7,0.14,11.0,44.0,25.0,170.0,30.0,22.4,29.4,50.0,3.0,6.0,3.0,0.6,14.0
2098,Lucas Perri,br BRA,GK,Lyon,fr Ligue 1,26.0,33,33,2970,33.0,100.0,138.0,br BRA,GK,fr Ligue 1,26.0,1997.0,33.0,33.0,2970.0,33.0,44.0,1.33,160.0,116.0,74.4,17.0,6.0,10.0,10.0,30.3,3.0,3.0,0.0,0.0,138.0,br BRA,GK,fr Ligue 1,26.0,1997.0,33.0,44.0,3.0,1.0,6.0,0.0,47.8,0.29,3.8,0.12,101.0,310.0,32.6,884.0,183.0,28.1,30.5,415.0,26.0,6.3,29.0,0.88,13.5
2106,Đorđe Petrović,rs SRB,GK,Strasbourg,fr Ligue 1,24.0,31,31,2790,31.0,100.0,139.0,rs SRB,GK,fr Ligue 1,24.0,1999.0,31.0,31.0,2790.0,31.0,38.0,1.23,147.0,110.0,78.9,15.0,8.0,8.0,10.0,32.3,8.0,7.0,1.0,0.0,139.0,rs SRB,GK,fr Ligue 1,24.0,1999.0,31.0,38.0,7.0,0.0,3.0,2.0,45.9,0.27,9.9,0.32,117.0,361.0,32.4,1438.0,127.0,20.9,27.4,491.0,41.0,8.4,47.0,1.52,15.2
2109,Luca Philipp,de GER,GK,Hoffenheim,de Bundesliga,23.0,6,6,540,6.0,,140.0,de GER,GK,de Bundesliga,23.0,2000.0,6.0,6.0,540.0,6.0,15.0,2.5,35.0,21.0,60.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,140.0,de GER,GK,de Bundesliga,23.0,2000.0,6.0,15.0,1.0,0.0,2.0,1.0,12.3,0.34,-1.7,-0.28,30.0,97.0,30.9,157.0,22.0,51.0,38.7,84.0,3.0,3.6,4.0,0.67,12.8
2117,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,30.0,38,38,3420,38.0,83.3,141.0,eng ENG,GK,eng Premier League,30.0,1994.0,38.0,38.0,3420.0,38.0,44.0,1.16,163.0,117.0,73.0,11.0,15.0,12.0,12.0,31.6,2.0,0.0,2.0,0.0,141.0,eng ENG,GK,eng Premier League,30.0,1994.0,38.0,44.0,0.0,1.0,6.0,0.0,48.8,0.3,4.8,0.13,304.0,806.0,37.7,1355.0,161.0,48.8,39.7,558.0,31.0,5.6,57.0,1.5,15.2
2129,Semuel Pizzignacco,it ITA,GK,Monza,it Serie A,22.0,9,8,736,8.2,100.0,142.0,it ITA,GK,it Serie A,22.0,2001.0,9.0,8.0,736.0,8.2,17.0,2.08,38.0,22.0,55.3,1.0,2.0,5.0,1.0,12.5,0.0,0.0,0.0,0.0,142.0,it ITA,GK,it Serie A,22.0,2001.0,8.2,17.0,0.0,1.0,2.0,1.0,12.4,0.33,-3.6,-0.44,39.0,113.0,34.5,273.0,30.0,33.7,31.4,119.0,4.0,3.4,7.0,0.86,12.8
2137,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,32.0,28,28,2520,28.0,91.7,143.0,eng ENG,GK,eng Premier League,32.0,1992.0,28.0,28.0,2520.0,28.0,35.0,1.25,120.0,86.0,71.7,13.0,6.0,9.0,8.0,28.6,2.0,1.0,1.0,0.0,143.0,eng ENG,GK,eng Premier League,32.0,1992.0,28.0,35.0,1.0,0.0,3.0,2.0,34.8,0.28,1.8,0.06,72.0,257.0,28.0,595.0,192.0,25.7,30.7,359.0,39.0,10.9,64.0,2.29,16.0
2151,Ivan Provedel,it ITA,GK,Lazio,it Serie A,30.0,29,29,2610,29.0,87.5,144.0,it ITA,GK,it Serie A,30.0,1994.0,29.0,29.0,2610.0,29.0,42.0,1.45,92.0,52.0,58.7,15.0,6.0,8.0,5.0,17.2,4.0,4.0,0.0,0.0,144.0,it ITA,GK,it Serie A,30.0,1994.0,29.0,42.0,4.0,0.0,3.0,2.0,31.5,0.32,-8.5,-0.29,146.0,374.0,39.0,1009.0,96.0,30.8,33.3,366.0,29.0,7.9,32.0,1.1,14.5
2161,Ionuț Radu,ro ROU,GK,Venezia,it Serie A,27.0,15,15,1350,15.0,100.0,145.0,ro ROU,GK,it Serie A,27.0,1997.0,15.0,15.0,1350.0,15.0,18.0,1.2,65.0,47.0,76.9,2.0,7.0,6.0,4.0,26.7,3.0,3.0,0.0,0.0,145.0,ro ROU,GK,it Serie A,27.0,1997.0,15.0,18.0,3.0,0.0,2.0,0.0,19.2,0.26,1.2,0.08,67.0,275.0,24.4,470.0,61.0,47.7,40.2,215.0,13.0,6.0,3.0,0.2,9.1
2172,Aaron Ramsdale,eng ENG,GK,Southampton,eng Premier League,26.0,30,30,2700,30.0,100.0,148.0,eng ENG,GK,eng Premier League,26.0,1998.0,30.0,30.0,2700.0,30.0,66.0,2.2,188.0,120.0,67.6,2.0,5.0,23.0,3.0,10.0,7.0,5.0,2.0,0.0,148.0,eng ENG,GK,eng Premier League,26.0,1998.0,30.0,66.0,5.0,0.0,10.0,0.0,63.5,0.32,-2.5,-0.08,196.0,605.0,32.4,1026.0,129.0,44.6,36.0,457.0,25.0,5.5,20.0,0.67,11.7
2184,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,24.0,12,11,1056,11.7,100.0,149.0,it ITA,GK,it Serie A,24.0,1999.0,12.0,11.0,1056.0,11.7,14.0,1.19,24.0,10.0,45.8,5.0,2.0,4.0,4.0,36.4,1.0,1.0,0.0,0.0,149.0,it ITA,GK,it Serie A,24.0,1999.0,11.7,14.0,1.0,0.0,2.0,0.0,11.7,0.46,-2.3,-0.2,48.0,138.0,34.8,426.0,45.0,27.5,30.8,97.0,11.0,11.3,9.0,0.77,12.9
2186,David Raya,es ESP,GK,Arsenal,eng Premier League,28.0,38,38,3420,38.0,100.0,150.0,es ESP,GK,eng Premier League,28.0,1995.0,38.0,38.0,3420.0,38.0,34.0,0.89,120.0,86.0,74.2,20.0,14.0,4.0,13.0,34.2,3.0,3.0,0.0,0.0,150.0,es ESP,GK,eng Premier League,28.0,1995.0,38.0,34.0,3.0,2.0,8.0,0.0,35.1,0.28,1.1,0.03,149.0,478.0,31.2,1263.0,178.0,29.9,29.9,402.0,53.0,13.2,66.0,1.74,17.2
2193,Pepe Reina,es ESP,GK,Como,it Serie A,41.0,12,12,1034,11.5,100.0,151.0,es ESP,GK,it Serie A,41.0,1982.0,12.0,12.0,1034.0,11.5,14.0,1.22,41.0,27.0,68.3,3.0,4.0,5.0,2.0,16.7,1.0,1.0,0.0,0.0,151.0,es ESP,GK,it Serie A,41.0,1982.0,11.5,14.0,1.0,0.0,4.0,0.0,12.1,0.28,-1.9,-0.16,43.0,115.0,37.4,330.0,41.0,32.4,31.9,148.0,2.0,1.4,6.0,0.52,12.5
2197,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,29.0,36,36,3240,36.0,100.0,152.0,es ESP,GK,es La Liga,29.0,1995.0,36.0,36.0,3240.0,36.0,43.0,1.19,130.0,86.0,70.8,13.0,7.0,16.0,13.0,36.1,6.0,5.0,1.0,0.0,152.0,es ESP,GK,es La Liga,29.0,1995.0,36.0,43.0,5.0,0.0,5.0,0.0,38.0,0.26,-5.0,-0.14,180.0,477.0,37.7,1053.0,111.0,31.4,32.6,446.0,29.0,6.5,40.0,1.11,14.4
2200,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,19.0,29,29,2543,28.3,0.0,153.0,fr FRA,GK,fr Ligue 1,19.0,2005.0,29.0,29.0,2543.0,28.3,36.0,1.27,92.0,58.0,62.0,9.0,7.0,13.0,8.0,27.6,2.0,1.0,1.0,0.0,153.0,fr FRA,GK,fr Ligue 1,19.0,2005.0,28.3,36.0,1.0,1.0,3.0,3.0,27.9,0.29,-5.1,-0.18,80.0,286.0,28.0,675.0,83.0,30.8,30.3,360.0,5.0,1.4,34.0,1.2,16.9
2248,Leo Román,es ESP,GK,Mallorca,es La Liga,24.0,7,7,630,7.0,,156.0,es ESP,GK,es La Liga,24.0,2000.0,7.0,7.0,630.0,7.0,10.0,1.43,49.0,39.0,81.6,2.0,1.0,4.0,2.0,28.6,1.0,1.0,0.0,0.0,156.0,es ESP,GK,es La Liga,24.0,2000.0,7.0,10.0,1.0,0.0,1.0,0.0,13.5,0.26,3.5,0.5,48.0,139.0,34.5,188.0,18.0,53.2,41.8,127.0,8.0,6.3,6.0,0.86,11.2
